territory,winner,players,power,day
UTEP,Texas A&M,108,628.5,34
Georgia,Georgia Tech,52,385.5,34
Louisiana Tech,Texas,36,240.0,34
Ohio,Michigan,115,427.5,34
Kansas,Nebraska,22,282.0,34
New Mexico,Texas A&M,96,350.5,34
South Alabama,Georgia Tech,65,414.5,34
UMass,Michigan,43,485.5,34
Temple,Ohio State,75,700.5,34
Auburn,Georgia Tech,10,47.5,34
Virginia,Ohio State,7,51.0,34
Miami (OH),Ohio State,4,25.5,34
North Carolina,Georgia Tech,4,22.5,34
Washington State,Nebraska,19,231.0,34
Toledo,Wisconsin,19,131.0,34
Virginia Tech,Ohio State,28,169.0,34
Louisiana Monroe,Alabama,15,172.5,34
Ohio State,Michigan,83,284.5,34
Arizona State,Michigan,126,699.5,34
Vanderbilt,Alabama,21,124.5,34
Florida State,Georgia Tech,3,21.5,34
Tennessee,Alabama,82,481.0,34
Liberty,Ohio State,22,126.0,34
West Virginia,Michigan,56,370.5,34
Tulane,Alabama,34,280.5,34
Navy,Chaos,65,593.0,34
California,Michigan,12,19.5,34
Nebraska,Nebraska,33,249.0,34
Penn State,Michigan,52,540.5,34
Duke,Georgia Tech,4,54.0,34
UAB,Alabama,10,54.5,34
Southern Mississippi,Alabama,32,146.0,34
Tulsa,Wisconsin,73,476.0,34
Fresno State,Michigan,111,577.0,34
Boise State,Nebraska,30,291.5,34
TCU,Texas A&M,106,791.5,34
Cincinnati,Ohio State,47,139.5,34
Penn State,Ohio State,122,531.0,35
Ball State,Wisconsin,15,121.5,35
Texas Tech,Wisconsin,56,402.0,35
USC,Michigan,73,393.0,35
Mississippi State,Alabama,11,66.5,35
UNLV,Ohio State,159,607.0,35
BYU,Chaos,82,564.0,35
Iowa State,Nebraska,20,236.5,35
Oklahoma,Michigan,57,350.5,35
Rutgers,Michigan,31,303.5,35
Indiana,Wisconsin,39,320.0,35
Texas A&M,Texas A&M,47,329.0,35
Pittsburgh,Michigan,143,412.0,35
Tulsa,Texas,75,330.5,35
Houston,Texas,83,479.0,35
Oregon State,Michigan,16,28.5,35
Wake Forest,Georgia Tech,9,32.0,35
Charlotte,Georgia Tech,44,293.0,35
Middle Tennessee,Georgia Tech,57,397.0,35
UMass,Ohio State,27,343.5,35
Akron,Michigan,75,270.5,35
Tennessee,Chaos,67,478.0,35
Washington,Nebraska,15,77.0,35
Louisville,Stanford,32,183.0,35
Chaos,Michigan,24,48.5,35
UCLA,Ohio State,65,357.5,35
Arkansas,Alabama,40,351.0,35
Georgia Tech,Georgia Tech,11,55.5,35
Ohio State,Ohio State,99,337.5,35
Buffalo,Michigan,49,516.0,35
Maryland,Michigan,36,230.0,35
Fresno State,Ohio State,138,537.5,35
Kent State,Ohio State,40,340.5,35
Arkansas State,Stanford,40,330.5,35
Louisiana,Alabama,47,322.0,35
Appalachian State,Chaos,34,316.5,35
Oklahoma State,Nebraska,30,264.0,35
New Mexico State,Texas A&M,2,21.0,35
Texas,Texas A&M,114,664.0,35
Navy,Ohio State,53,227.0,35
Coastal Carolina,Georgia Tech,25,240.0,35
Virginia,Michigan,59,240.0,35
Stanford,Michigan,40,429.5,35
SMU,Wisconsin,100,665.0,35
Memphis,Stanford,8,106.5,35
Auburn,Alabama,18,107.0,35
Baylor,Texas,108,558.0,35
Illinois,Wisconsin,10,82.5,35
North Texas,Michigan,71,406.5,35
Oregon,Michigan,12,28.5,35
Kentucky,Wisconsin,41,297.5,35
Wyoming,Nebraska,46,492.5,35
Army,Ohio State,80,662.0,35
Connecticut,Michigan,25,303.0,35
Ole Miss,Alabama,10,46.5,35
New Mexico,Nebraska,5,44.0,35
Boise State,Michigan,6,32.0,35
San José State,Michigan,36,244.5,35
Minnesota,Wisconsin,39,297.0,35
UT San Antonio,Texas A&M,55,490.0,35
Old Dominion,Ohio State,26,156.0,35
Nevada,Michigan,39,433.5,35
Boston College,Michigan,46,416.5,35
East Carolina,Georgia Tech,10,73.5,35
Iowa,Wisconsin,44,349.0,35
Air Force,Nebraska,17,249.5,35
South Alabama,Alabama,14,91.5,35
Georgia State,Georgia Tech,4,31.5,35
Syracuse,Ohio State,77,709.5,35
UTEP,Texas A&M,6,43.5,35
Louisiana Tech,Texas,47,346.5,35
Kansas,Nebraska,42,418.5,35
San Diego State,Georgia Tech,107,425.0,35
Liberty,Michigan,88,313.0,35
Alabama,Alabama,22,124.5,35
Temple,Ohio State,45,557.0,35
Miami (OH),Ohio State,41,110.5,35
Arizona,Michigan,133,792.5,35
Western Kentucky,Chaos,62,427.0,35
North Carolina,Georgia Tech,7,45.0,35
Clemson,Georgia Tech,96,545.0,35
Washington State,Nebraska,2,24.0,35
Toledo,Wisconsin,18,111.0,35
Louisiana Monroe,Alabama,57,385.5,35
Arizona State,Michigan,181,960.0,35
Utah,Texas A&M,12,191.0,35
Vanderbilt,Alabama,8,51.0,35
Missouri,Nebraska,60,441.0,35
Bowling Green,Michigan,45,173.0,35
Virginia Tech,Michigan,60,211.0,35
Southern Mississippi,Georgia Tech,30,186.5,35
West Virginia,Michigan,53,332.0,35
California,Michigan,11,27.0,35
Georgia,Chaos,68,540.5,35
South Carolina,Georgia Tech,43,287.0,35
Nebraska,Nebraska,30,364.5,35
Ohio,Ohio State,82,273.5,35
Duke,Georgia Tech,16,143.5,35
UAB,Alabama,8,44.5,35
Hawai'i,Chaos,50,370.5,35
Rice,Texas A&M,151,699.0,35
Marshall,Wisconsin,21,120.0,35
TCU,Texas A&M,101,802.0,35
Cincinnati,Ohio State,47,164.0,35
Penn State,Ohio State,48,345.0,36
Western Kentucky,Nebraska,32,259.0,36
Ball State,Wisconsin,16,107.5,36
Buffalo,Ohio State,101,406.0,36
Texas Tech,Wisconsin,56,383.0,36
USC,Michigan,66,327.0,36
Colorado,Texas A&M,10,145.0,36
Iowa State,Nebraska,13,120.5,36
Miami (OH),Michigan,29,281.0,36
Houston,Texas A&M,131,711.5,36
Indiana,Wisconsin,29,257.5,36
Texas A&M,Texas A&M,95,686.5,36
Pittsburgh,Michigan,100,394.0,36
Tulsa,Texas,48,399.5,36
Rutgers,Ohio State,40,340.5,36
Wake Forest,Georgia Tech,26,187.5,36
Washington State,Michigan,6,41.0,36
Charlotte,Georgia Tech,15,142.5,36
Middle Tennessee,Georgia Tech,39,317.5,36
UMass,Ohio State,90,664.5,36
Ole Miss,Stanford,14,100.5,36
Syracuse,Michigan,80,617.0,36
North Texas,Wisconsin,57,350.0,36
Duke,Ohio State,10,64.5,36
Temple,Michigan,41,353.0,36
Georgia Tech,Georgia Tech,36,246.5,36
Ohio State,Ohio State,50,295.0,36
Akron,Ohio State,111,453.5,36
Maryland,Michigan,72,328.0,36
Memphis,Chaos,66,601.75,36
Utah,Nebraska,61,343.5,36
Kent State,Ohio State,42,157.5,36
Louisiana,Alabama,46,320.5,36
Oklahoma State,Nebraska,15,237.0,36
New Mexico State,Texas A&M,85,425.5,36
Texas,Texas A&M,66,501.0,36
Navy,Ohio State,46,239.0,36
Stanford,Michigan,35,429.5,36
Clemson,Chaos,40,366.0,36
Auburn,Alabama,11,58.5,36
Baylor,Texas,173,633.5,36
